Frequencia (Hz),Amplitude (dB)
239.97,172.65
1995.98,172.51
1996.18,172.43
1996.28,171.73
1995.89,171.45
1995.2,171.07
1995.3,170.88
1996.08,170.52
1996.86,170.42
239.87,170.11
1996.96,169.78
1995.59,169.76
1996.57,169.75
1995.5,168.61
1995.69,168.33
1996.67,168.27
1996.37,167.53
1995.79,166.69
1995.11,166.37
1996.47,166.18
1994.91,165.45
1994.62,165.33
1995.01,165.32
1997.25,165.23
1997.06,165.11
240.06,165.04
1997.15,164.97
1996.76,164.17
239.77,164.08
1994.82,163.88
240.16,163.77
1995.4,163.53
239.67,162.82
240.26,162.59
1997.35,162.13
1994.52,162.07
1994.33,161.82
1993.26,160.7
1997.54,160.49
1998.91,160.45
1993.35,160.04
1992.67,159.55
1992.87,159.55
1998.81,159.19
1998.61,159.03
239.58,158.84
240.36,158.51
1992.97,158.3
1990.92,158.15
1993.55,157.9
1991.02,157.61
1991.31,157.39
1990.73,157.24
1991.41,157.19
240.45,157.12
1992.38,156.78
1999.3,156.72
1994.72,156.6
1992.58,156.5
1991.6,156.14
359.95,155.66
1999.2,155.65
367.06,155.64
1993.74,155.59
183.58,155.59
366.96,155.39
1998.13,155.32
1997.64,155.05
1998.42,155.04
1989.07,154.88
599.92,154.8
1993.84,154.75
1999.0,154.65
183.68,154.56
1988.97,154.55
1997.83,154.52
1994.23,154.49
1994.43,154.24
1983.42,154.23
1989.36,154.12
1998.03,154.1
1999.49,154.08
1998.32,154.07
1994.04,154.06
599.82,153.98
1985.37,153.89
239.19,153.7
1998.52,153.69
240.94,153.69
239.48,153.62
1990.63,153.49
1993.16,153.43
240.75,153.38
1991.89,153.33
1992.09,153.31
367.16,153.31
550.54,153.28
1977.29,153.19
1991.8,153.05
238.99,153.04
1990.43,152.97
550.64,152.95
183.48,152.94
1981.47,152.88
366.86,152.87
7984.23,152.87
1989.46,152.85
1979.23,152.75
2001.15,152.66
1977.38,152.6
359.85,152.6
1983.03,152.52
2000.56,152.49
1989.65,152.4
257.69,152.14
2006.79,152.13
1977.48,151.92
2000.76,151.88
2004.85,151.87
1997.74,151.85
1983.32,151.81
734.51,151.68
1985.27,151.67
1987.12,151.63
183.97,151.63
7983.25,151.53
2000.85,151.5
7984.13,151.47
550.44,151.41
1979.53,151.33
1991.7,151.31
1979.43,151.28
1984.98,151.21
599.72,151.19
1975.44,151.19
1987.32,151.18
1979.33,151.18
1987.02,151.13
257.79,151.13
1975.34,151.1
2004.75,151.06
2002.8,151.01
946.23,150.99
1992.48,150.99
1988.78,150.99
1981.08,150.98
551.03,150.91
1991.99,150.88
2005.04,150.88
367.55,150.76
257.59,150.75
2006.99,150.71
733.73,150.7
600.11,150.66
1983.52,150.66
733.82,150.59
1987.41,150.58
2006.89,150.58
1981.18,150.57
1984.78,150.55
1984.49,150.51
367.94,150.49
1979.14,150.46
120.08,150.46
1975.53,150.38
550.93,150.37
1984.69,150.34
1999.1,150.34
1981.38,150.33
2002.9,150.32
733.92,150.31
1982.74,150.28
1985.47,150.27
1982.54,150.25
239.38,150.24
2004.94,150.23
1998.22,150.23
600.21,150.21
1982.84,150.21
1999.78,150.19
7983.16,150.14
1987.22,150.11
1999.59,150.07
2000.27,150.04
734.02,150.04
2001.24,149.98
1985.17,149.96
1985.08,149.95
1993.94,149.91
733.63,149.89
119.98,149.88
734.41,149.82
1992.19,149.82
551.81,149.81
1993.65,149.77
1983.13,149.75
367.45,149.74
2003.09,149.59
1989.95,149.58
1986.73,149.57
1990.14,149.53
1989.17,149.51
550.34,149.49
1989.26,149.49
367.64,149.43
946.33,149.42
1997.44,149.42
1983.71,149.4
360.05,149.29
2006.7,149.25
550.25,149.23
2005.14,149.21
183.38,149.2
1981.77,149.17
7983.35,149.16
1990.24,149.16
550.15,149.13
183.77,149.13
1988.68,149.11
550.73,149.07
734.6,149.05
1971.34,149.05
366.57,148.99
366.77,148.97
1983.23,148.93
183.87,148.92
734.12,148.91
1981.57,148.89
1980.79,148.85
1999.68,148.81
1999.98,148.79
368.23,148.75
367.84,148.74
1971.44,148.73
1981.28,148.71
1973.39,148.7
1986.44,148.64
1965.5,148.58
1994.13,148.53
1985.66,148.5
242.01,148.46
257.5,148.39
946.13,148.38
2000.46,148.38
1973.49,148.37
2001.05,148.34
2003.19,148.28
552.1,148.28
241.52,148.21
1997.93,148.12
1976.6,148.09
945.84,148.08
314.18,148.08
1991.11,148.05
241.33,148.03
1990.53,148.03
240.84,148.01
1976.51,147.99
241.62,147.99
1980.89,147.97
